FBID	CG	name	GO
"FBgn0031388"	"CG12674"	""	""
"FBgn0031400"	"CG15384"	""	""
"FBgn0031406"	"CG17012"	""	"serine-type peptidase"
"FBgn0031418"	"CG3609"	""	""
"FBgn0031424"	"CG9887"	""	"high affinity inorganic phosphate:sodium symporter"
"FBgn0031429"	"CG15393"	""	""
"FBgn0031432"	"CG9964"	"Cyp309a1"	"cytochrome P450 microsome membrane"
"FBgn0031436"	"CG3214"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0031444"	"CG9879"	""	""
"FBgn0031454"	"CG9960"	"NA"	"NA"
"FBgn0031461"	"CG16987"	"Alp23B"	"activin"
"FBgn0031467"	"CG2973"	"NA"	"structural constituent of cuticle (sensu Insecta)"
"FBgn0031487"	"CG3558"	""	""
"FBgn0031490"	"CG17264"	"NA"	"NA"
"FBgn0031511"	"CG3485"	""	""
"FBgn0031512"	"CG15404"	""	""
"FBgn0031541"	"CG8845"	""	""
"FBgn0031566"	"CG2818"	""	""
"FBgn0031569"	"CG10020"	""	""
"FBgn0031579"	"CG15422"	""	""
"FBgn0031582"	"CG12676"	"ed"	"EGF receptor signaling pathway negative regulation of EGF receptor signaling pathway"
"FBgn0031591"	"CG15425"	""	""
"FBgn0031622"	"CG3251"	""	""
"FBgn0031632"	"CG15628"	""	""
"FBgn0031645"	"CG3036"	""	"integral to membrane phosphate transport sodium:phosphate symporter"
"FBgn0031653"	"CG8871"	""	"chymotrypsin"
"FBgn0031653"	"CG8871"	"NA"	"chymotrypsin"
"FBgn0031655"	"CG3753"	"NA"	"helicase"
"FBgn0031685"	"CG14035"	""	""
"FBgn0031689"	"CG10833"	"Cyp28d1"	"cytochrome P450 microsome membrane"
"FBgn0031693"	"CG14032"	"Cyp4ac1"	"cytochrome P450 microsome membrane"
"FBgn0031694"	"CG17970"	"Cyp4ac2"	"cytochrome P450 microsome membrane"
"FBgn0031701"	"CG14027"	"TotM"	"humoral defense mechanism (sensu Invertebrata)"
"FBgn0031702"	"CG14021"	""	""
"FBgn0031714"	"CG14019"	""	""
"FBgn0031730"	"CG7236"	"NA"	"protein amino acid phosphorylation protein serine/threonine kinase cyclin-dependent protein kinase"
"FBgn0031740"	"CG7239"	""	""
"FBgn0031744"	"CG14002"	""	""
"FBgn0031745"	"CG8965"	""	""
"FBgn0031752"	"CG9044"	""	""
"FBgn0031756"	"CG13992"	""	""
"FBgn0031761"	"CG9092"	"NA"	"beta-galactosidase lysosome"
"FBgn0031801"	"CG9498"	""	""
"FBgn0031806"	"CG9506"	"slam"	""
"FBgn0031810"	"CG9511"	""	""
"FBgn0031813"	"CG9527"	""	"pristanoyl-CoA oxidase"
"FBgn0031824"	"CG9547"	""	"glutaryl-CoA dehydrogenase"
"FBgn0031830"	"CG11015"	"NA"	"cytochrome c oxidase respiratory chain complex IV (sensu Eukarya)"
"FBgn0031833"	"CG11045"	""	""
"FBgn0031835"	"CG11319"	""	"dipeptidyl-peptidase IV"
"FBgn0031838"	"CG11053"	""	"peptidyl-proline hydroxylation to 4-hydroxy-L-proline procollagen-proline, 2-oxoglutarate-4-dioxygenase complex procollagen-proline,2-oxoglutarate-4-dioxygenase"
"FBgn0031844"	"CG13771"	""	"acyl-CoA thioesterase"
"FBgn0031850"	"CG11326"	"Tsp"	"extracellular matrix cell adhesion molecule"
"FBgn0031854"	"CG11323"	""	"tubulinyl-tyrosine ligase"
"FBgn0031858"	"CG17378"	""	""
"FBgn0031859"	"CG17377"	""	""
"FBgn0031865"	"CG10806"	""	"sodium:hydrogen antiporter"
"FBgn0031876"	"CG9200"	""	""
"FBgn0031894"	"CG4496"	""	""
"FBgn0031907"	"CG5171"	""	"trehalose phosphatase"
"FBgn0031909"	"CG5181"	"NA"	"NA"
"FBgn0031912"	"CG5261"	"NA"	"dihydrolipoamide S-acetyltransferase pyruvate dehydrogenase complex (sensu Eukarya)"
"FBgn0031929"	"CG18585"	"NA"	"NA"
"FBgn0031934"	"CG7075"	"NA"	"mitochondrial derivative Nebenkern nucleus serotonin transporter"
"FBgn0031937"	"CG13795"	""	""
"FBgn0031938"	"CG18590"	""	""
"FBgn0031941"	"CG7211"	""	"hydrogen-translocating F-type ATPase proton-transporting ATP synthase complex (sensu Eukarya)"
"FBgn0031948"	"CG7149"	"NA"	"diacylglycerol cholinephosphotransferase"
"FBgn0031949"	"CG7144"	""	"saccharopine dehydrogenase (NAD+, L-lysine forming)"
"FBgn0031955"	"CG14535"	""	""
"FBgn0031956"	"CG7106"	"lectin-28C"	"galactose binding lectin"
"FBgn0031963"	"CG17973"	""	""
"FBgn0031971"	"CG7224"	"NA"	"NA"
"FBgn0031987"	"CG12375"	""	""
"FBgn0032008"	"CG14277"	""	""
"FBgn0032022"	"CG14275"	"NA"	"NA"
"FBgn0032023"	"CG14274"	""	""
"FBgn0032029"	"CG17292"	""	"triacylglycerol lipase"
"FBgn0032040"	"CG13386"	""	""
"FBgn0032041"	"CG13397"	"ESTS:172F5T"	"alpha-N-acetylglucosaminidase"
"FBgn0032049"	"CG13095"	"NA"	"aspartic-type endopeptidase"
"FBgn0032053"	"CG13098"	"mRpL51"	"mitochondrial large ribosomal subunit structural constituent of ribosome"
"FBgn0032055"	"CG13091"	""	""
"FBgn0032058"	"CG9289"	""	"carboxylesterase"
"FBgn0032074"	"CG9494"	"Tsp29Fa"	"integral to membrane"
"FBgn0032075"	"CG9496"	"Tsp29Fb"	"integral to membrane"
"FBgn0032076"	"CG9510"	""	""
"FBgn0032082"	"CG18088"	""	""
"FBgn0032087"	"CG9568"	""	""
"FBgn0032088"	"CG13102"	""	""
"FBgn0032113"	"CG4450"	""	"voltage-gated potassium channel"
"FBgn0032114"	"CG3752"	""	"mitochondrion aldehyde dehydrogenase (NAD+)"
"FBgn0032134"	"CG31884"	"Trx-2"	"thiol-disulfide exchange intermediate"
"FBgn0032136"	"CG15828"	"NA"	"lipid binding extracellular space"
"FBgn0032139"	"CG13116"	""	""
"FBgn0032143"	"CG4017"	""	"carboxypeptidase A"
"FBgn0032144"	"CG17633"	"NA"	"carboxypeptidase A"
"FBgn0032151"	"CG4128"	"nAcRalpha-30D"	"nicotinic acetylcholine-gated receptor-channel complex nicotinic acetylcholine-activated cation-selective channel"
"FBgn0032158"	"CG4600"	""	""
"FBgn0032159"	"CG5885"	"BEST:CK01296"	"integral to membrane signal sequence receptor complex translocon"
"FBgn0032161"	"CG4594"	""	"dodecenoyl-CoA delta-isomerase mitochondrion"
"FBgn0032165"	"CG5879"	"NA"	"NA"
"FBgn0032174"	"CG4747"	""	"3-hydroxyisobutyrate dehydrogenase"
"FBgn0032180"	"CG5833"	""	""
"FBgn0032188"	"CG13137"	""	""
"FBgn0032213"	"CG5390"	"NA"	"serine-type endopeptidase"
"FBgn0032228"	"CG5367"	""	"cathepsin L"
"FBgn0032235"	"CG5096"	"NA"	"NA"
"FBgn0032237"	"CG5362"	""	"L-malate dehydrogenase cytosol"
"FBgn0032258"	"CG7456"	"NA"	"NA"
"FBgn0032280"	"CG17105"	"NA"	"NA"
"FBgn0032283"	"CG7296"	"NA"	"NA"
"FBgn0032284"	"CG7294"	"NA"	"NA"
"FBgn0032285"	"CG17108"	""	""
"FBgn0032289"	"CG6431"	""	"triacylglycerol lipase"
"FBgn0032294"	"CG6737"	"NA"	"hydrogen-translocating V-type ATPase hydrogen-transporting ATPase V0 domain"
"FBgn0032297"	"CG17124"	""	"protein phosphatase inhibitor"
"FBgn0032300"	"CG18499"	""	""
"FBgn0032303"	"CG6508"	""	"cathepsin D"
"FBgn0032308"	"CG17137"	""	"voltage-dependent ion-selective channel"
"FBgn0032311"	"CG12517"	""	""
"FBgn0032313"	"CG14070"	""	""
"FBgn0032322"	"CG16743"	""	""
"FBgn0032325"	"CG6105"	"l(2)06225"	"hydrogen-translocating F-type ATPase proton-transporting ATP synthase complex, coupling factor F(0) (sensu Eukarya)"
"FBgn0032327"	"CG16833"	""	"tubulinyl-tyrosine ligase"
"FBgn0032329"	"CG16840"	""	"protein-arginine N-methyltransferase"
"FBgn0032358"	"CG4851"	"NA"	"NA"
"FBgn0032359"	"CG14925"	"NA"	"NA"
"FBgn0032375"	"CG14932"	""	""
"FBgn0032381"	"CG14934"	""	"alpha-glucosidase"
"FBgn0032383"	"CG14943"	""	""
"FBgn0032387"	"CG16965"	""	"alpha,alpha-trehalase"
"FBgn0032398"	"CG6766"	"NA"	"NA"
"FBgn0032403"	"CG12317"	"JhI-21"	"amino acid transporter L-amino acid transporter"
"FBgn0032406"	"CG14947"	"NA"	"NA"
"FBgn0032408"	"CG6712"	""	""
"FBgn0032412"	"CG16996"	""	"serine-type endopeptidase"
"FBgn0032413"	"CG16997"	"NA"	"serine-type endopeptidase"
"FBgn0032433"	"CG5427"	"NA"	"transporter"
"FBgn0032435"	"CG6417"	"NA"	"sodium-independent organic anion transporter"
"FBgn0032442"	"CG15485"	""	"endothelin-converting enzyme"
"FBgn0032447"	"CG6167"	""	""
"FBgn0032448"	"CG5781"	""	""
"FBgn0032463"	"CG3762"	""	""
"FBgn0032474"	"CG9828"	"NA"	"chaperone"
"FBgn0032476"	"CG5439"	""	""
"FBgn0032478"	"CG5458"	""	""
"FBgn0032482"	"CG5547"	""	"ethanolamine-phosphate cytidylyltransferase"
"FBgn0032483"	"CG15482"	""	""
"FBgn0032487"	"CG15481"	"NA"	"cytoplasmic exosome (RNase complex) nuclear exosome (RNase complex) 3'-5' exoribonuclease"
"FBgn0032491"	"CG16815"	""	""
"FBgn0032501"	"CG6263"	""	""
"FBgn0032504"	"CG16970"	""	""
"FBgn0032505"	"CG16826"	""	""
"FBgn0032511"	"CG9306"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0032516"	"CG9293"	""	""
"FBgn0032528"	"CG16851"	""	""
"FBgn0032582"	"CG13258"	""	""
"FBgn0032593"	"CG5996"	"trpgamma"	"cation transport cation channel calcium channel"
"FBgn0032600"	"CG17912"	"NA"	"NA"
"FBgn0032603"	"CG17928"	"NA"	"NA"
"FBgn0032606"	"CG17932"	"Ugt36Bc"	""
"FBgn0032609"	"CG13280"	""	""
"FBgn0032619"	"CG15133"	""	""
"FBgn0032638"	"CG6639"	"NA"	"serine-type endopeptidase"
"FBgn0032639"	"CG18563"	""	""
"FBgn0032659"	"CG15149"	""	""
"FBgn0032665"	"CG15152"	""	""
"FBgn0032669"	"CG15155"	""	""
"FBgn0032684"	"CG10178"	"NA"	"NA"
"FBgn0032694"	"CG15162"	""	""
"FBgn0032695"	"CG15165"	""	""
"FBgn0032697"	"CG31751"	"NA"	"NA"
"FBgn0032706"	"CG10369"	"Irk3"	"inward rectifier potassium channel"
"FBgn0032727"	"CG10623"	"NA"	"selenocysteine methyltransferase"
"FBgn0032734"	"CG15169"	""	""
"FBgn0032735"	"CG10650"	""	""
"FBgn0032741"	"CG10446"	"Side"	"regulation of transcription nucleus transcription factor"
"FBgn0032771"	"CG17349"	""	""
"FBgn0032786"	"CG10034"	"NA"	"transcription factor nucleus"
"FBgn0032788"	"CG13084"	""	""
"FBgn0032789"	"CG13083"	""	""
"FBgn0032809"	"CG13078"	"NA"	"NA"
"FBgn0032810"	"CG13077"	""	""
"FBgn0032819"	"CG10463"	""	""
"FBgn0032829"	"CG13963"	""	""
"FBgn0032833"	"CG10664"	"NA"	"cytochrome c oxidase mitochondrion mitochondrial inner membrane"
"FBgn0032835"	"CG16772"	""	""
"FBgn0032839"	"CG10659"	""	""
"FBgn0032844"	"CG10746"	""	""
"FBgn0032856"	"CG16798"	""	""
"FBgn0032863"	"CG2508"	""	"mitotic anaphase anaphase-promoting complex ubiquitin-protein ligase"
"FBgn0032864"	"CG2493"	""	"lysosomal pro-X carboxypeptidase"
"FBgn0032866"	"CG17485"	""	""
"FBgn0032869"	"CG17470"	""	""
"FBgn0032881"	"CG9319"	"NA"	"alpha-methylacyl-CoA racemase"
"FBgn0032889"	"CG9331"	""	"oxidoreductase, acting on CH-OH group of donors"
"FBgn0032890"	"CG9332"	""	""
"FBgn0032895"	"CG9335"	""	""
"FBgn0032896"	"CG14400"	"NA"	"NA"
"FBgn0032900"	"CG14401"	""	""
"FBgn0032905"	"CG18078"	""	""
"FBgn0032914"	"CG14397"	""	""
"FBgn0032931"	"CG14396"	""	""
"FBgn0032932"	"CG17401"	""	""
"FBgn0032945"	"CG8665"	"NA"	"formyltetrahydrofolate dehydrogenase"
"FBgn0032947"	"CG17571"	"NA"	"serine-type endopeptidase"
"FBgn0032952"	"CG12548"	"nompB"	"intraflagellar transport hearing"
"FBgn0032957"	"CG2225"	"NA"	"NA"
"FBgn0032967"	"CG1428"	""	""
"FBgn0032970"	"CG12630"	""	""
"FBgn0032973"	"CG6675"	"NA"	"lipase"
"FBgn0033011"	"CG18225"	"NA"	"NA"
"FBgn0033027"	"CG12408"	"NA"	"calcium ion binding"
"FBgn0033031"	"CG8245"	""	""
"FBgn0033046"	"CG14470"	""	"endopeptidase inhibitor"
"FBgn0033059"	"CG7845"	""	""
"FBgn0033064"	"CG8347"	""	""
"FBgn0033065"	"CG8345"	"Cyp6w1"	"cytochrome P450 microsome membrane"
"FBgn0033070"	"CG8341"	""	""
"FBgn0033071"	"CG30431"	"NA"	"NA"
"FBgn0033091"	"CG3686"	""	""
"FBgn0033093"	"CG3270"	""	""
"FBgn0033108"	"CG15236"	""	""
"FBgn0033125"	"CG12846"	"Tsp42Ed"	"integral to membrane"
"FBgn0033138"	"CG12832"	"Tsp42Eq"	"integral to membrane"
"FBgn0033140"	"CG12836"	""	""
"FBgn0033187"	"CG2144"	"NA"	"NA"
"FBgn0033188"	"CG1600"	""	"Zinc-containing alcohol dehydrogenase superfamily, GroES-like, , GroES-like, , NAD(P)-binding Rossmann-fold domains, , NAD(P)-binding Rossmann-fold domains"
"FBgn0033195"	"CG1360"	"NA"	"NA"
"FBgn0033205"	"CG2064"	"NA"	"NA"
"FBgn0033208"	"CG1577"	"mRpL52"	"carboxylesterase"
"FBgn0033221"	"CG12825"	""	""
"FBgn0033226"	"CG1882"	"NA"	"NA"
"FBgn0033234"	"CG8791"	""	"high affinity inorganic phosphate:sodium symporter"
"FBgn0033246"	"CG11198"	""	"acetyl-CoA carboxylase"
"FBgn0033257"	"CG8713"	"NA"	"A-type (transient outward) potassium channel"
"FBgn0033259"	"CG11210"	""	""
"FBgn0033263"	"CG14758"	""	""
"FBgn0033266"	"CG2160"	"Socs44A"	"NA"
"FBgn0033274"	"CG14757"	"NA"	"NA"
"FBgn0033277"	"CG14760"	""	"serine-type endopeptidase"
"FBgn0033294"	"CG8693"	""	"alpha-glucosidase"
"FBgn0033295"	"CG8689"	"NA"	"NA"
"FBgn0033296"	"CG11669"	""	"alpha-glucosidase"
"FBgn0033297"	"CG8690"	"NA"	"alpha-glucosidase"
"FBgn0033301"	"CG12780"	""	"Gram-negative bacterial binding"
"FBgn0033304"	"CG2397"	"Cyp6a13"	"membrane cytochrome P450 microsome"
"FBgn0033324"	"CG14744"	""	""
"FBgn0033325"	"CG14746"	"PGRP-SC1a"	"peptidoglycan recognition defense response integral to plasma membrane immune response extracellular"
"FBgn0033329"	"CG14767"	"NA"	"nucleobase transporter Golgi membrane lysosomal membrane"
"FBgn0033330"	"CG8746"	""	""
"FBgn0033333"	"CG2385"	""	""
"FBgn0033338"	"CG8269"	"Dmn"	"dynactin complex microtubule-based movement"
"FBgn0033339"	"CG8266"	"sec31"	"synaptic vesicle COPII-coated vesicle endoplasmic reticulum Golgi stack"
"FBgn0033341"	"CG13746"	""	""
"FBgn0033353"	"CG13749"	""	""
"FBgn0033365"	"CG8170"	""	"serine-type endopeptidase"
"FBgn0033370"	"CG8083"	""	"nucleoside:sodium symporter"
"FBgn0033376"	"CG8777"	"NA"	"NA"
"FBgn0033379"	"CG8070"	"Mys45A"	""
"FBgn0033397"	"CG10843"	"Cyp4p3"	"cytochrome P450 microsome membrane"
"FBgn0033402"	"CG2078"	""	""
"FBgn0033416"	"CG13953"	"NA"	"NA"
"FBgn0033440"	"CG10459"	""	"transmembrane receptor protein serine/threonine kinase signaling protein"
"FBgn0033442"	"CG1690"	""	""
"FBgn0033452"	"CG1599"	""	"SNAP receptor v-SNARE plasma membrane"
"FBgn0033458"	"CG18446"	"NA"	"NA"
"FBgn0033465"	"CG12140"	""	"mitochondrial inner membrane electron-transferring-flavoprotein dehydrogenase"
"FBgn0033479"	"CG2292"	"NA"	"NA"
"FBgn0033484"	"CG2269"	"NA"	"NA"
"FBgn0033495"	"CG12214"	""	""
"FBgn0033495"	"CG12214"	"NA"	"NA"
"FBgn0033504"	"CG18408"	"rexin"	"vinculin binding focal adhesion"
"FBgn0033518"	"CG11765"	"Prx2540-2"	"antioxidant peroxidase non-selenium glutathione peroxidase"
"FBgn0033536"	"CG16942"	""	""
"FBgn0033540"	"CG11887"	""	""
"FBgn0033548"	"CG7637"	""	""
"FBgn0033562"	"CG6751"	"NA"	"general RNA polymerase II transcription factor transcription factor TFIID complex"
"FBgn0033565"	"CG18003"	""	""
"FBgn0033566"	"CG18004"	""	""
"FBgn0033570"	"CG7712"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0033576"	"CG18240"	""	""
"FBgn0033584"	"CG7737"	""	""
"FBgn0033586"	"CG18338"	""	""
"FBgn0033587"	"CG13218"	""	""
"FBgn0033594"	"CG13226"	""	""
"FBgn0033595"	"CG18337"	""	""
"FBgn0033599"	"CG13223"	""	""
"FBgn0033601"	"CG9076"	""	"structural constituent of larval cuticle (sensu Insecta)"
"FBgn0033619"	"CG12350"	"lambdaTry"	"trypsin extracellular"
"FBgn0033620"	"CG12388"	"kappaTry"	"trypsin extracellular"
"FBgn0033626"	"CG12352"	"san"	"N-acetyltransferase"
"FBgn0033641"	"CG8998"	""	""
"FBgn0033643"	"CG30035"	"NA"	"NA"
"FBgn0033643"	"CG30035"	"NA"	"glucose transporter"
"FBgn0033644"	"CG8234"	""	"fructose transporter glucose transporter"
"FBgn0033654"	"CG8991"	""	""
"FBgn0033657"	"CG8271"	""	"monocarboxylate porter"
"FBgn0033658"	"CG8986"	"NA"	"NA"
"FBgn0033659"	"CG18188"	"Damm"	"caspase apoptosis induction of apoptosis"
"FBgn0033685"	"CG13178"	""	""
"FBgn0033716"	"CG8493"	""	""
"FBgn0033720"	"CG13160"	""	""
"FBgn0033728"	"CG8505"	"NA"	"structural constituent of cuticle (sensu Insecta)"
"FBgn0033732"	"CG13157"	""	""
"FBgn0033733"	"CG8834"	"NA"	"long-chain fatty acid transporter"
"FBgn0033736"	"CG13154"	""	""
"FBgn0033748"	"CG8821"	"vis"	"nucleus transcription co-repressor transcription factor"
"FBgn0033765"	"CG8772"	"nemy"	"mitochondrion glutaminase"
"FBgn0033766"	"CG8771"	"NA"	"NA"
"FBgn0033772"	"CG12488"	""	""
"FBgn0033774"	"CG12374"	"NA"	"carboxypeptidase A"
"FBgn0033788"	"CG13323"	"NA"	"NA"
"FBgn0033789"	"CG13324"	"NA"	"NA"
"FBgn0033797"	"CG13328"	"NA"	"NA"
"FBgn0033801"	"CG4023"	"NA"	"NA"
"FBgn0033811"	"CG4643"	""	""
"FBgn0033820"	"CG4716"	"NA"	"NA"
"FBgn0033826"	"CG4734"	"NA"	"NA"
"FBgn0033830"	"CG10814"	""	""
"FBgn0033833"	"CG4740"	"AttC"	"antibacterial peptide antibacterial humoral response (sensu Invertebrata)"
"FBgn0033835"	"CG18279"	""	""
"FBgn0033837"	"CG17034"	""	"P-type ATPase hydrolase, acting on acid anhydrides, catalyzing transmembrane movement of substances"
"FBgn0033838"	"CG4812"	"Ser8"	"serine-type peptidase trypsin"
"FBgn0033844"	"CG6016"	"NA"	"ethanolaminephosphotransferase"
"FBgn0033864"	"CG18368"	""	""
"FBgn0033876"	"CG10808"	"synaptogyrin"	"synaptic vesicle exocytosis regulation of calcium ion dependent exocytosis"
"FBgn0033888"	"CG18568"	""	""
"FBgn0033896"	"CG13353"	""	""
"FBgn0033906"	"CG8331"	""	""
"FBgn0033911"	"CG8394"	""	"GABA transporter"
"FBgn0033916"	"CG8494"	""	"ubiquitin-specific protease"
"FBgn0033931"	"CG13939"	"Obp50e"	"odorant binding"
"FBgn0033954"	"CG12860"	""	""
"FBgn0033958"	"CG12858"	""	""
"FBgn0033966"	"CG12856"	""	""
"FBgn0033978"	"CG10242"	"Cyp6a23"	"cytochrome P450 microsome membrane"
"FBgn0033981"	"CG10247"	"Cyp6a21"	"membrane cytochrome P450 microsome"
"FBgn0033999"	"CG8093"	"NA"	"triacylglycerol lipase"
"FBgn0034003"	"CG8094"	"Hex-C"	"hexokinase"
"FBgn0034011"	"CG8160"	""	""
"FBgn0034022"	"CG12964"	""	""
"FBgn0034028"	"CG8186"	"Vha36"	"hydrogen-transporting two-sector ATPase hydrogen-transporting ATPase V1 domain hydrogen transport"
"FBgn0034030"	"CG8192"	""	""
"FBgn0034034"	"CG8205"	"fus"	"RNA binding EGF receptor signaling pathway"
"FBgn0034050"	"CG8297"	"NA"	"NA"
"FBgn0034063"	"CG8389"	"NA"	"monocarboxylate porter"
"FBgn0034066"	"CG8397"	"NA"	"actin binding"
"FBgn0034072"	"CG18250"	"Dg"	"cytoskeletal anchor protein structural constituent of muscle dystroglycan complex cytoskeletal anchoring"
"FBgn0034079"	"CG8430"	""	"aspartate aminotransferase"
"FBgn0034085"	"CG18243"	"Ptp52F"	"protein tyrosine phosphatase protein amino acid dephosphorylation axon guidance"
"FBgn0034108"	"CG3767"	""	""
"FBgn0034132"	"CG4439"	""	"leucyl aminopeptidase"
"FBgn0034136"	"CG8380"	"DAT"	"cocaine binding dopamine transporter dopamine:sodium symporter"
"FBgn0034140"	"CG8317"	"NA"	"NA"
"FBgn0034143"	"CG8303"	""	""
"FBgn0034160"	"CG5550"	"NA"	"extracellular matrix"
"FBgn0034162"	"CG6426"	"NA"	"NA"
"FBgn0034166"	"CG6472"	"NA"	"lipase"
"FBgn0034172"	"CG6665"	"NA"	"NA"
"FBgn0034184"	"CG9646"	""	""
"FBgn0034200"	"CG11395"	""	""
"FBgn0034206"	"CG18469"	""	""
"FBgn0034212"	"CG6564"	""	""
"FBgn0034219"	"CG6536"	""	"integral to membrane G-protein coupled receptor protein signaling pathway G-protein coupled receptor"
"FBgn0034229"	"CG4847"	""	"cathepsin K"
"FBgn0034232"	"CG4866"	"NA"	"structural constituent of ribosome cytosolic small ribosomal subunit (sensu Eukarya) protein biosynthesis"
"FBgn0034236"	"CG6516"	""	""
"FBgn0034247"	"CG6484"	"NA"	"glucose transporter"
"FBgn0034253"	"CG10936"	""	""
"FBgn0034260"	"CG14481"	""	""
"FBgn0034268"	"CG4989"	"NA"	"NA"
"FBgn0034286"	"CG12557"	""	""
"FBgn0034289"	"CG10910"	"NA"	"NA"
"FBgn0034291"	"CG5770"	"NA"	"NA"
"FBgn0034295"	"CG10911"	""	""
"FBgn0034296"	"CG10912"	""	""
"FBgn0034305"	"CG5124"	"adp"	"NA"
"FBgn0034317"	"CG14499"	""	""
"FBgn0034328"	"CG15066"	""	""
"FBgn0034329"	"CG18108"	"IM1"	"defense/immunity protein extracellular defense response"
"FBgn0034337"	"CG17524"	""	"glutathione transferase"
"FBgn0034339"	"CG17527"	"NA"	"glutathione transferase"
"FBgn0034342"	"CG17533"	"Gst3-2"	"NA"
"FBgn0034343"	"CG17534"	"Gst3-1"	"glutathione transferase response to toxin"
"FBgn0034373"	"CG15085"	"mae"	"protein binding regulation of EGF receptor signaling pathway regulation of RAS protein signal transduction regulation of transcription, DNA-dependent regulation of phosphorylation embryonic pattern specification"
"FBgn0034375"	"CG12613"	""	""
"FBgn0034397"	"CG15082"	""	""
"FBgn0034407"	"CG10794"	"DptB"	"antibacterial peptide antibacterial humoral response (sensu Invertebrata)"
"FBgn0034423"	"CG7229"	""	"DNA binding nucleus"
"FBgn0034434"	"CG9811"	"NA"	"RAS small monomeric GTPase"
"FBgn0034436"	"CG11961"	""	""
"FBgn0034439"	"CG10062"	""	""
"FBgn0034441"	"CG10081"	""	""
"FBgn0034457"	"CG15122"	"NA"	"NA"
"FBgn0034468"	"CG11797"	"Obp56a"	"NA"
"FBgn0034474"	"CG13873"	"Obp56g"	"odorant binding"
"FBgn0034476"	"CG8595"	"Toll-7"	"transmembrane receptor plasma membrane integral to membrane signal transduction defense response"
"FBgn0034480"	"CG16898"	""	""
"FBgn0034481"	"CG11041"	"NA"	"calcium ion binding"
"FBgn0034487"	"CG11048"	""	""
"FBgn0034490"	"CG9864"	""	"high affinity inorganic phosphate:sodium symporter"
"FBgn0034497"	"CG9090"	"NA"	"mitochondrial membrane carrier"
"FBgn0034511"	"CG13422"	""	"Gram-negative antibacterial peptide"
"FBgn0034512"	"CG18067"	""	""
"FBgn0034515"	"CG13428"	"NA"	"NA"
"FBgn0034518"	"CG13430"	""	""
"FBgn0034543"	"CG10404"	""	""
"FBgn0034546"	"CG13442"	""	""
"FBgn0034552"	"CG17999"	"NA"	"NA"
"FBgn0034554"	"CG15227"	""	"carbonate dehydratase"
"FBgn0034568"	"CG3216"	""	"guanylate cyclase receptor guanylate cyclase"
"FBgn0034584"	"CG9364"	""	""
"FBgn0034589"	"CG9398"	""	""
"FBgn0034604"	"CG4302"	""	"UDP-glycosyltransferase"
"FBgn0034613"	"CG10509"	"NA"	"NA"
"FBgn0034618"	"CG9485"	"NA"	"4-alpha-glucanotransferase amylo-1,6-glucosidase"
"FBgn0034620"	"CG30394"	"NA"	"NA"
"FBgn0034622"	"CG15666"	""	""
"FBgn0034623"	"CG9822"	""	""
"FBgn0034624"	"CG17974"	""	""
"FBgn0034627"	"CG9841"	"EfSec"	"NA"
"FBgn0034630"	"CG15667"	""	""
"FBgn0034640"	"CG9858"	""	""
"FBgn0034642"	"CG15674"	""	""
"FBgn0034663"	"CG4363"	"NA"	"NA"
"FBgn0034664"	"CG4377"	"NA"	"NA"
"FBgn0034672"	"CG13489"	""	""
"FBgn0034690"	"CG6437"	""	"ceramide glucosyltransferase"
"FBgn0034712"	"CG3264"	""	"alkaline phosphatase"
"FBgn0034718"	"CG3413"	"wdp"	"plasma membrane"
"FBgn0034733"	"CG4752"	""	"5-oxoprolinase (ATP-hydrolysing)"
"FBgn0034738"	"CG12489"	""	""
"FBgn0034739"	"CG3927"	"NA"	"NA"
"FBgn0034741"	"CG4269"	"NA"	"NA"
"FBgn0034744"	"CG4071"	""	""
"FBgn0034757"	"CG13514"	""	""
"FBgn0034794"	"CG3495"	"Gmer"	"racemase and epimerase, acting on carbohydrates and derivatives oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor GDP-4-dehydro-D-rhamnose reductase cellular component unknown GDP-L-fucose biosynthesis, de novo pathway"
"FBgn0034806"	"CG9898"	""	""
"FBgn0034819"	"CG9877"	"NA"	"NA"
"FBgn0034835"	"CG3092"	""	""
"FBgn0034840"	"CG3124"	""	""
"FBgn0034843"	"CG9803"	""	""
"FBgn0034844"	"CG9861"	""	""
"FBgn0034852"	"CG3496"	""	""
"FBgn0034866"	"CG17226"	"Or59c"	"olfactory receptor integral to membrane olfaction"
"FBgn0034868"	"CG13556"	""	""
"FBgn0034871"	"CG3906"	""	""
"FBgn0034875"	"CG5365"	""	""
"FBgn0034877"	"CG17280"	"NA"	"cytochrome c oxidase respiratory chain complex IV (sensu Eukarya)"
"FBgn0034881"	"CG10332"	"NA"	"NA"
"FBgn0034898"	"CG18128"	"NA"	"purine-nucleoside phosphorylase"
"FBgn0034906"	"CG13561"	""	""
"FBgn0034907"	"CG5539"	""	""
